SAMPID,XPT,YPT,ZPT,Thickness (cm),Pt (g/t),Ni (%),Cu (%)
1067,9444.85425,-3943.24248,0,130,13.16461538,0.1655,0.058
993,9426.15,-3789.24,0,135,7.2225,0.17495,0.05805
813,9352.2,-3546.36,0,118,12.64338983,0.15904,0.05813
344,8593.15,-4138.84,0,110,6.52,0.1879,0.05815
1114,9461.85,-3784.64,0,130,8.690730769,0.1637,0.0585
970,9419.35,-3522.44,0,119,15.65239496,0.16032,0.05854
569,8973.01755,-3424.51336,0,81,4.042098765,0.1161,0.05855
1048,9439.6038,-4034.9214,0,119,8.860970588,0.1627,0.05859
625,9135.45,-3941.96,0,103,11.93419903,0.14247,0.05861
1238,9494.15,-3744.16,0,137,7.515510949,0.1707,0.05863
732,9322.9328,-4099.58912,0,132,7.097905303,0.16786,0.05872
687,9290.15,-3948.4,0,128,9.779179688,0.16609,0.05894
1213,9487.70955,-4119.48596,0,120,6.464541667,0.164,0.059
734,9323.3,-3885.84,0,138,3.885507246,0.1719,0.05902
904,9394.4909,-3971.22612,0,133,8.223406015,0.16904,0.05908
1027,9433.8,-3815.92,0,140,6.80875,0.168,0.0592
726,9320.75,-3916.2,0,139,9.26647482,0.1731,0.05941
692,9296.1,-3954.84,0,130,7.606576923,0.16855,0.0597
911,9397.05705,-4058.24892,0,135,7.282055556,0.1714,0.0598
929,9406.58215,-4130.123,0,135,8.919185185,0.1714,0.0598
1258,9500.95,-3724.84,0,140,6.81,0.1743,0.0598
753,9329.25,-3891.36,0,140,11.45285714,0.1743,0.0598
1130,9466.95,-3791.08,0,140,6.711428571,0.1784,0.0599
739,9325,-3769,0,128,6.600929688,0.15549,0.05993
496,8773.35,-3179.28,0,120,4.1,0.169,0.06
234,8434.2,-4032.12,0,117,8.21582906,0.159765,0.060105
858,9372.36625,-4048.12248,0,136,5.774676471,0.17258,0.06016
710,9311.00815,-4034.27372,0,136,6.592132353,0.17258,0.06016
1197,9485.2726,-3949.82968,0,136,6.845213235,0.17258,0.06016
945,9412.4735,-4014.23152,0,136,10.18975,0.17258,0.06016
782,9339.47465,-3942.28108,0,130,8.891538462,0.16795,0.0603
1265,9503.48045,-3989.13944,0,135,8.509014815,0.17194,0.06036
349,8603.35,-3905.16,0,90,4.132222222,0.0825,0.0605
822,9356.2137,-4019.14248,0,137,11.29574453,0.17376,0.06052
1196,9484.8,-3476.44,0,124,3.793951613,0.16672,0.06059
1097,9454.4958,-4092.78296,0,124,4.838032258,0.1692,0.06064
906,9395.27035,-3994.03292,0,124,8.100879032,0.1692,0.06064
715,9313.95,-3757.04,0,130,7.524730769,0.15775,0.06065
1029,9433.8,-3514.16,0,130,7.139230769,0.16995,0.0608
23,8114.6,-3891.36,0,118,8.102779661,0.15308,0.06084
962,9417.004,-3964.20376,0,138,4.751942029,0.17494,0.06088
940,9410.33405,-3948.9612,0,138,6.265927536,0.17494,0.06088
1038,9435.8808,-3980.97352,0,138,7.489550725,0.17494,0.06088
944,9411.7204,-4136.96872,0,138,7.919376812,0.17494,0.06088
1101,9456.2502,-3908.27236,0,138,8.17573913,0.17494,0.06088
957,9415.7732,-3986.65636,0,138,8.596362319,0.17494,0.06088
998,9426.2622,-3991.78812,0,138,11.22252174,0.17494,0.06088
916,9399.7813,-4048.27336,0,132,9.952992424,0.15878,0.06089
554,8883.85,-3185.72,0,50,7.048,0.0915,0.061
399,8672.2,-3492.08,0,71,7.637957746,0.1415,0.0611
623,9110.8,-4014.64,0,109,7.532807339,0.18683,0.061185
915,9399.37075,-3965.23968,0,139,6.373697842,0.17612,0.06124
